date,FundValNet,ForeignValNet,CustomerValNet
2016-11-09,-5076.0,-7673.0,12749.0
2016-11-10,-1525.0,7836.0,-6311.0
2016-11-11,11691.0,-23605.0,11914.0
2016-11-14,6713.0,-16427.0,9714.0
2016-11-15,-4929.0,2651.0,2278.0
2016-11-16,4853.0,9287.0,-14140.0
2016-11-17,5480.0,-6446.0,966.0
2016-11-18,-3239.0,-2638.0,5877.0
2016-11-21,1376.0,7304.0,-8680.0
2016-11-22,992.0,6710.0,-7702.0
2016-11-23,-5732.0,13195.0,-7463.0
2016-11-24,2378.0,-5064.0,2686.0
2016-11-25,-3785.0,6580.0,-2795.0
2016-11-28,-2612.0,7113.0,-4501.0
2016-11-29,-5322.0,-1044.0,6366.0
2016-11-30,-13308.0,14023.0,-715.0
2016-12-01,-5966.0,7222.0,-1256.0
2016-12-02,4186.0,-3566.0,-620.0
2016-12-06,-2861.0,878.0,1983.0
2016-12-07,-1201.0,3337.0,-2136.0
2016-12-08,-1734.0,6939.0,-5205.0
2016-12-09,-579.0,-2602.0,3181.0
2016-12-13,-4984.0,1322.0,3662.0
2016-12-14,3169.0,-7008.0,3839.0
2016-12-15,1122.0,-5247.0,4125.0
2016-12-16,580.0,-389.0,-191.0
2016-12-19,486.0,5581.0,-6067.0
2016-12-20,1389.0,-8713.0,7324.0
2016-12-21,538.0,-4958.0,4420.0
2016-12-22,531.0,-998.0,467.0
2016-12-23,-1296.0,-7639.0,8935.0
2016-12-26,1643.0,785.0,-2428.0
2016-12-27,2606.0,1302.0,-3908.0
2016-12-28,1388.0,1716.0,-3104.0
2016-12-29,-3527.0,18941.0,-15414.0
2016-12-30,-8074.0,11007.0,-2933.0
2017-01-04,-3697.0,15440.0,-11743.0
2017-01-05,-1944.0,120.0,1824.0
2017-01-06,-484.0,424.0,60.0
2017-01-09,1210.0,-4016.0,2806.0
2017-01-10,-3943.0,-963.0,4906.0
2017-01-11,101.0,2761.0,-2862.0
2017-01-12,802.0,3560.0,-4362.0
2017-01-13,-1501.0,-1610.0,3111.0
2017-01-16,-453.0,1430.0,-977.0
2017-01-17,675.0,-1757.0,1082.0
2017-01-18,1173.0,-433.0,-740.0
2017-01-19,661.0,-15775.0,15114.0
2017-01-20,794.0,-2071.0,1277.0
2017-01-23,2098.0,-3458.0,1360.0
2017-01-24,-471.0,9074.0,-8603.0
2017-01-25,2563.0,3237.0,-5800.0
2017-01-26,7184.0,-2083.0,-5101.0
2017-01-27,2106.0,-6426.0,4320.0
2017-01-30,1074.0,-1667.0,593.0
2017-01-31,3345.0,-10676.0,7331.0
2017-02-01,370.0,-4777.0,4407.0
2017-02-02,1800.0,-5548.0,3748.0
2017-02-03,-1449.0,-1019.0,2468.0
2017-02-06,2160.0,1054.0,-3214.0
2017-02-07,4470.0,-1070.0,-3400.0
2017-02-08,2935.0,-799.0,-2136.0
2017-02-09,1688.0,542.0,-2230.0
2017-02-10,3497.0,264.0,-3761.0
2017-02-14,-2076.0,-6049.0,8125.0
2017-02-15,-3768.0,-5002.0,8770.0
2017-02-16,4617.0,6378.0,-10995.0
2017-02-17,-1056.0,-2023.0,3079.0
2017-02-20,-1504.0,-1235.0,2739.0
2017-02-21,1813.0,-1956.0,143.0
2017-02-22,845.0,-5817.0,4972.0
2017-02-23,1981.0,-2029.0,48.0
2017-02-24,-3968.0,-398.0,4366.0
2017-02-27,3357.0,-2049.0,-1308.0
2017-02-28,857.0,1567.0,-2424.0
2017-03-01,-4031.0,969.0,3062.0
2017-03-02,-4162.0,9994.0,-5832.0
2017-03-03,1298.0,-7528.0,6230.0
2017-03-06,-110.0,-2565.0,2675.0
2017-03-07,-1884.0,1436.0,448.0
2017-03-08,-2894.0,-965.0,3859.0
2017-03-09,925.0,-1822.0,897.0
2017-03-10,2059.0,-6141.0,4082.0
2017-03-13,-450.0,-7637.0,8087.0
2017-03-14,1246.0,-408.0,-838.0
2017-03-15,1596.0,65.0,-1661.0
2017-03-16,823.0,18698.0,-19521.0
2017-03-17,-1006.0,11523.0,-10517.0
2017-03-20,1173.0,-9106.0,7933.0
2017-03-21,3056.0,12025.0,-15081.0
2017-03-22,-1165.0,-9320.0,10485.0
2017-03-23,1479.0,-778.0,-701.0
2017-03-24,-218.0,7874.0,-7656.0
2017-03-27,-2774.0,902.0,1872.0
2017-03-28,-102.0,876.0,-774.0
2017-03-29,700.0,-2044.0,1344.0
2017-03-30,-4083.0,8132.0,-4049.0
2017-03-31,-449.0,1325.0,-876.0
2017-04-03,-1066.0,1876.0,-810.0
2017-04-04,-2942.0,6941.0,-3999.0
2017-04-05,-1492.0,4710.0,-3218.0
2017-04-07,2726.0,3831.0,-6557.0
2017-04-10,-1793.0,7753.0,-5960.0
2017-04-11,-805.0,655.0,150.0
2017-04-12,144.0,3829.0,-3973.0
2017-04-17,-6067.0,-3869.0,9936.0
2017-04-18,1826.0,-4144.0,2318.0
2017-04-19,-5848.0,3713.0,2135.0
2017-04-20,-1177.0,-2330.0,3507.0
2017-04-21,1020.0,445.0,-1465.0
2017-04-24,654.0,284.0,-938.0
2017-04-25,-602.0,-1190.0,1792.0
2017-04-26,-3192.0,9749.0,-6557.0
2017-04-27,-797.0,1487.0,-690.0
2017-04-28,546.0,-10222.0,9676.0
2017-05-02,-611.0,3021.0,-2410.0
2017-05-03,3607.0,-949.0,-2658.0
2017-05-04,637.0,4040.0,-4677.0
2017-05-05,-195.0,459.0,-264.0
2017-05-08,861.0,5427.0,-6288.0
2017-05-09,-1593.0,13.0,1580.0
2017-05-11,-1944.0,-9642.0,11586.0
2017-05-12,2888.0,-29263.0,26375.0
2017-05-15,-587.0,-6363.0,6950.0
2017-05-16,2941.0,-2781.0,-160.0
2017-05-17,2314.0,4199.0,-6513.0
2017-05-18,3155.0,-7238.0,4083.0
2017-05-19,-174.0,-524.0,698.0
2017-05-22,261.0,727.0,-988.0
2017-05-23,6926.0,968.0,-7894.0
2017-05-24,2406.0,5005.0,-7411.0
2017-05-25,90.0,10722.0,-10812.0
2017-05-26,-973.0,4887.0,-3914.0
2017-05-29,1363.0,2092.0,-3455.0
2017-05-30,-725.0,1393.0,-668.0
2017-05-31,-2715.0,-8923.0,11638.0
2017-06-01,741.0,-1399.0,658.0
2017-06-02,5139.0,10090.0,-15229.0
2017-06-05,-1132.0,-6500.0,7632.0
2017-06-06,-569.0,-5315.0,5884.0
2017-06-07,1682.0,-6668.0,4986.0
2017-06-08,42.0,-391.0,349.0
2017-06-09,-3743.0,-4662.0,8405.0
2017-06-12,415.0,-3425.0,3010.0
2017-06-13,3367.0,1835.0,-5202.0
2017-06-14,3341.0,5403.0,-8744.0
2017-06-15,781.0,-3564.0,2783.0
2017-06-16,-84.0,12506.0,-12422.0
2017-06-19,-1516.0,7330.0,-5814.0
2017-06-20,-2983.0,-110.0,3093.0
2017-06-21,-2477.0,-5880.0,8357.0
2017-06-22,3409.0,1681.0,-5090.0
2017-06-23,290.0,2877.0,-3167.0
2017-06-26,-1059.0,7953.0,-6894.0
2017-06-27,-528.0,-2495.0,3023.0
2017-06-28,1064.0,-1930.0,866.0
2017-06-29,5004.0,-9312.0,4308.0
2017-06-30,129.0,-11030.0,10901.0
2017-07-03,2255.0,-844.0,-1411.0
2017-07-04,659.0,-721.0,62.0
2017-07-05,516.0,-508.0,-8.0
2017-07-06,1205.0,-16432.0,15227.0
2017-07-07,2355.0,-8964.0,6609.0
2017-07-11,-28.0,-6520.0,6548.0
2017-07-12,5169.0,8940.0,-14109.0
2017-07-13,7888.0,11042.0,-18930.0
2017-07-14,-425.0,10759.0,-10334.0
2017-07-17,-1640.0,3424.0,-1784.0
2017-07-18,-2817.0,-1473.0,4290.0
2017-07-19,1014.0,9187.0,-10201.0
2017-07-20,62.0,6202.0,-6264.0
2017-07-21,1919.0,5929.0,-7848.0
2017-07-24,3061.0,6020.0,-9081.0
2017-07-25,6436.0,8120.0,-14556.0
2017-07-26,5100.0,11316.0,-16416.0
2017-07-27,-711.0,257.0,454.0
2017-07-31,-11488.0,-15190.0,26678.0
2017-08-01,-3441.0,-3313.0,6754.0
2017-08-02,130.0,6717.0,-6847.0
2017-08-03,496.0,3031.0,-3527.0
2017-08-04,-1568.0,4043.0,-2475.0
2017-08-07,5934.0,-8916.0,2982.0
2017-08-08,4046.0,5571.0,-9617.0
2017-08-09,-4191.0,-12089.0,16280.0
2017-08-10,-156.0,1186.0,-1030.0
2017-08-11,-7825.0,-23194.0,31019.0
2017-08-15,7386.0,-4332.0,-3054.0
2017-08-16,1694.0,-9556.0,7862.0
2017-08-17,642.0,2053.0,-2695.0
2017-08-18,420.0,-7173.0,6753.0
2017-08-21,575.0,2788.0,-3363.0
2017-08-22,2274.0,6483.0,-8757.0
2017-08-23,1647.0,8259.0,-9906.0
2017-08-24,-563.0,26865.0,-26302.0
2017-08-25,-1059.0,20526.0,-19467.0
2017-08-28,-5206.0,16993.0,-11787.0
2017-08-29,-19965.0,-55720.0,75685.0
2017-08-30,938.0,-10035.0,9097.0
2017-08-31,-2433.0,-2392.0,4825.0
2017-09-01,5427.0,-1822.0,-3605.0
2017-09-04,859.0,-5939.0,5080.0
2017-09-05,1126.0,-3960.0,2834.0
2017-09-06,492.0,5.0,-497.0
2017-09-07,8152.0,-12540.0,4388.0
2017-09-08,-1420.0,-17147.0,18567.0
2017-09-11,9074.0,673.0,-9747.0
2017-09-12,447.0,1522.0,-1969.0
2017-09-13,-2675.0,4414.0,-1739.0
2017-09-14,-4029.0,-7308.0,11337.0
2017-09-15,-7139.0,-14847.0,21986.0
2017-09-18,7906.0,-13100.0,5194.0
2017-09-19,-1067.0,-12518.0,13585.0
2017-09-20,507.0,-3571.0,3064.0
2017-09-21,-6779.0,9553.0,-2774.0
2017-09-22,-5321.0,20968.0,-15647.0
2017-09-25,2533.0,-7395.0,4862.0
2017-09-26,2733.0,-1743.0,-990.0
2017-09-27,4557.0,976.0,-5533.0
2017-09-28,2882.0,-2666.0,-216.0
2017-09-29,7353.0,-1909.0,-5444.0
2017-10-02,9259.0,-24079.0,14820.0
2017-10-03,2411.0,-7052.0,4641.0
2017-10-04,8102.0,831.0,-8933.0
2017-10-05,-7014.0,2843.0,4171.0
2017-10-06,-7088.0,-4035.0,11123.0
2017-10-09,10410.0,287.0,-10697.0
2017-10-10,3513.0,-13338.0,9825.0
2017-10-11,2454.0,-1070.0,-1384.0
2017-10-12,-15905.0,10594.0,5311.0
2017-10-16,11665.0,-5304.0,-6361.0
2017-10-17,6383.0,-6385.0,2.0
2017-10-18,-4305.0,-9068.0,13373.0
2017-10-19,-7255.0,15061.0,-7806.0
2017-10-20,-4735.0,922.0,3813.0
2017-10-24,4954.0,2609.0,-7563.0
2017-10-25,-1147.0,-4619.0,5766.0
2017-10-27,-111.0,220.0,-109.0
2017-10-30,10197.0,2688.0,-12885.0
2017-10-31,-4629.0,3851.0,778.0
2017-11-01,3501.0,-3845.0,344.0
2017-11-02,4309.0,3722.0,-8031.0
2017-11-03,649.0,-4686.0,4037.0
2017-11-06,-9357.0,434.0,8923.0
2017-11-07,5795.0,-1292.0,-4503.0
2017-11-08,1151.0,-6120.0,4969.0
2017-11-09,-2063.0,1733.0,330.0
2017-11-10,-2072.0,-6310.0,8382.0
2017-11-13,4707.0,219.0,-4926.0
2017-11-14,6993.0,-6907.0,-86.0
2017-11-15,2553.0,-5338.0,2785.0
2017-11-16,4299.0,4486.0,-8785.0
2017-11-17,-5835.0,12790.0,-6955.0
2017-11-20,2669.0,-6283.0,3614.0
2017-11-21,-1600.0,-3380.0,4980.0
2017-11-22,-859.0,4301.0,-3442.0
2017-11-23,1924.0,2407.0,-4331.0
2017-11-24,-6975.0,-4350.0,11325.0
2017-11-27,-754.0,-5954.0,6708.0
2017-11-28,-3329.0,5298.0,-1969.0
2017-11-29,5840.0,6600.0,-12440.0
2017-11-30,629.0,-9382.0,8753.0
2017-12-01,-15.0,-720.0,735.0
2017-12-04,20.0,-3134.0,3114.0
2017-12-06,-2698.0,9411.0,-6713.0
2017-12-07,-5025.0,8914.0,-3889.0
2017-12-08,-5843.0,3691.0,2152.0
2017-12-12,7361.0,-8209.0,848.0
2017-12-13,5381.0,-9496.0,4115.0
2017-12-14,2643.0,4771.0,-7414.0
2017-12-15,-407.0,-9364.0,9771.0
2017-12-18,591.0,-7900.0,7309.0
2017-12-19,72.0,1146.0,-1218.0
2017-12-20,-3537.0,-487.0,4024.0
2017-12-21,-751.0,1165.0,-414.0
2017-12-22,2288.0,-6235.0,3947.0
2017-12-25,3019.0,-5031.0,2012.0
2017-12-26,5956.0,1737.0,-7693.0
2017-12-27,3031.0,7058.0,-10089.0
2017-12-28,-3259.0,-2076.0,5335.0
2017-12-29,-6860.0,4701.0,2159.0
2018-01-03,2735.0,-7032.0,4297.0
2018-01-04,5195.0,-853.0,-4342.0
2018-01-05,-917.0,-11385.0,12302.0
2018-01-08,5014.0,9423.0,-14437.0
2018-01-09,-173.0,-8577.0,8750.0
2018-01-10,2103.0,7258.0,-9361.0
2018-01-11,-4407.0,-4807.0,9214.0
2018-01-12,405.0,2325.0,-2730.0
2018-01-15,7320.0,9535.0,-16855.0
2018-01-16,-2616.0,-10381.0,12997.0
2018-01-17,-10718.0,6059.0,4659.0
2018-01-18,12303.0,-9034.0,-3269.0
2018-01-19,-7909.0,-331.0,8240.0
2018-01-22,-4742.0,9483.0,-4741.0
2018-01-23,388.0,3173.0,-3561.0
2018-01-24,519.0,4061.0,-4580.0
2018-01-25,2635.0,3143.0,-5778.0
2018-01-26,1140.0,4840.0,-5980.0
2018-01-29,6835.0,-1564.0,-5271.0
2018-01-30,870.0,-12434.0,11564.0
2018-01-31,-8640.0,8482.0,158.0
2018-02-01,-2218.0,12886.0,-10668.0
2018-02-02,968.0,16385.0,-17353.0
2018-02-05,-9344.0,-16205.0,25549.0
2018-02-06,14275.0,-28348.0,14073.0
2018-02-07,17106.0,-4153.0,-12953.0
2018-02-08,265.0,-5045.0,4780.0
2018-02-09,-4436.0,-1671.0,6107.0
2018-02-12,3412.0,-4182.0,770.0
2018-02-13,1764.0,9578.0,-11342.0
2018-02-19,2453.0,5603.0,-8056.0
2018-02-20,-929.0,1739.0,-810.0
2018-02-21,-2416.0,8248.0,-5832.0
2018-02-22,-5931.0,4255.0,1676.0
2018-02-23,-73.0,4120.0,-4047.0
2018-02-26,54.0,-6937.0,6883.0
2018-02-27,-2773.0,-8361.0,11134.0
2018-02-28,3022.0,-8323.0,5301.0
2018-03-02,9262.0,-20235.0,10973.0
2018-03-05,-538.0,-4933.0,5471.0
2018-03-06,1172.0,3060.0,-4232.0
2018-03-07,393.0,-3911.0,3518.0
2018-03-08,979.0,11716.0,-12695.0
2018-03-09,-2844.0,-14005.0,16849.0
2018-03-12,4390.0,5849.0,-10239.0
2018-03-13,1520.0,1829.0,-3349.0
2018-03-14,-4182.0,6635.0,-2453.0
2018-03-15,-117.0,556.0,-439.0
2018-03-16,1005.0,1793.0,-2798.0
2018-03-19,-23.0,-3116.0,3139.0
2018-03-20,-2525.0,7336.0,-4811.0
2018-03-21,-950.0,-596.0,1546.0
2018-03-22,-1587.0,-2593.0,4180.0
2018-03-23,-1260.0,13569.0,-12309.0
2018-03-26,-2396.0,-1918.0,4314.0
2018-03-27,1359.0,-9852.0,8493.0
2018-03-28,1582.0,-7306.0,5724.0
2018-03-29,5215.0,-26529.0,21314.0
2018-03-30,-3308.0,-765.0,4073.0
2018-04-02,-2532.0,12619.0,-10087.0
2018-04-03,1669.0,-727.0,-942.0
2018-04-04,1567.0,-4153.0,2586.0
2018-04-05,-567.0,21814.0,-21247.0
2018-04-09,-442.0,9805.0,-9363.0
2018-04-10,603.0,2201.0,-2804.0
2018-04-11,-2864.0,11548.0,-8684.0
2018-04-12,-935.0,2525.0,-1590.0
2018-04-17,3188.0,-5650.0,2462.0
2018-04-18,-2606.0,6238.0,-3632.0
2018-04-19,-5463.0,10141.0,-4678.0
2018-04-20,-1329.0,810.0,519.0
2018-04-23,-2818.0,-84.0,2902.0
2018-04-24,2301.0,8461.0,-10762.0
2018-04-25,3142.0,-6807.0,3665.0
2018-04-26,771.0,-4213.0,3442.0
2018-04-27,-754.0,-4676.0,5430.0
2018-04-30,656.0,-3268.0,2612.0
2018-05-02,-2360.0,1551.0,809.0
2018-05-03,-5862.0,564.0,5298.0
2018-05-04,4749.0,-5232.0,483.0
2018-05-07,-305.0,2471.0,-2166.0
2018-05-08,7262.0,-16121.0,8859.0
2018-05-09,-685.0,-8420.0,9105.0
2018-05-10,2084.0,-249.0,-1835.0
2018-05-11,839.0,-7020.0,6181.0
2018-05-14,-2242.0,5413.0,-3171.0
2018-05-15,-2500.0,-1273.0,3773.0
2018-05-16,5252.0,-7393.0,2141.0
2018-05-17,-946.0,2521.0,-1575.0
2018-05-18,-446.0,6615.0,-6169.0
2018-05-21,-2736.0,3429.0,-693.0
2018-05-22,6695.0,-5741.0,-954.0
2018-05-23,-2423.0,-12425.0,14848.0
2018-05-24,2149.0,-15145.0,12996.0
2018-05-25,386.0,-4916.0,4530.0
2018-05-28,-2091.0,-3392.0,5483.0
2018-05-30,2901.0,-5473.0,2572.0
2018-05-31,-972.0,12380.0,-11408.0
2018-06-01,6574.0,-17344.0,10770.0
2018-06-04,-686.0,447.0,239.0
2018-06-05,2176.0,4245.0,-6421.0
2018-06-06,-1291.0,9561.0,-8270.0
2018-06-07,1719.0,-1047.0,-672.0
2018-06-08,2089.0,-5548.0,3459.0
2018-06-11,-2199.0,3880.0,-1681.0
2018-06-12,-903.0,8148.0,-7245.0
2018-06-13,3013.0,-9329.0,6316.0
2018-06-14,325.0,-979.0,654.0
2018-06-15,-1283.0,1877.0,-594.0
2018-06-18,-2813.0,-3521.0,6334.0
2018-06-19,5270.0,14899.0,-20169.0
2018-06-20,-9801.0,16063.0,-6262.0
2018-06-21,10658.0,1938.0,-12596.0
2018-06-22,-7040.0,-1153.0,8193.0
2018-06-25,8076.0,4721.0,-12797.0
2018-06-26,-8895.0,-330.0,9225.0
2018-06-27,3692.0,-2316.0,-1376.0
2018-06-28,360.0,-4458.0,4098.0
2018-06-29,9237.0,-16419.0,7182.0
